word,category,polarity,score
극락,food,positive,1
어우러지다,food,positive,1
신기하다,food,positive,1
예술,food,positive,1
빵빵,food,positive,1
완탕,food,positive,1
매콤달달,food,positive,1
별미,food,positive,1
부드럽다,food,positive,1
배부르다,food,positive,1
맛있다,food,positive,1
살살,food,positive,1
녹다,food,positive,1
야들야들,food,positive,1
고소하다,food,positive,1
방문 필수,general,positive,1
환상,general,positive,1
궁합,general,positive,1
킥,general,positive,1
감동,general,positive,1
차분하다,atmosphere,positive,1
분위기 있다,atmosphere,positive,1
방문 예정,general,positive,1
재방문 예정,general,positive,1
기대 이상,general,positive,1
훨씬 맛있다,food,positive,1
대충,general,negative,-1
의아,general,negative,-1
뚝딱,general,positive,1
적당하다,food,positive,1
최고,general,positive,1
만족스럽다,general,positive,1
알차다,general,positive,1
깔끔하다,general,positive,1
만족,general,positive,1
넉넉하다,general,positive,1
괜찮다,general,positive,1
달짝지근하다,food,positive,1
신선하다,food,positive,1
상큼,food,positive,1
건강하다,general,positive,1
색다르다,general,positive,1
굿굿,general,positive,1
질도,general,positive,1
끝내주다,general,positive,1
싱싱하다,food,positive,1
얼큰하다,food,positive,1
달콤하다,food,positive,1
곁들이다,general,positive,1
당기다,general,positive,1
눈물나다,general,positive,1
충분하다,general,positive,1
충만,general,positive,1
촉촉하다,food,positive,1
보드랍다,food,positive,1
미치다,general,positive,1
다양하다,general,positive,1
감탄,general,positive,1
편하다,general,positive,1
추천,general,positive,1
빠르다,general,positive,1
훌륭하다,general,positive,1
정갈하다,general,positive,1
어울리다,general,positive,1
야무지다,general,positive,1
여전하다,general,positive,1
담백하다,food,positive,1
쫀득쫀득한,food,positive,1
맛집,food,positive,1
존맛,food,positive,2
개존맛,food,positive,2
개굿,general,positive,2
굿,general,positive,1
크다,general,positive,1
뜨끈하다,food,positive,1
딱이다,general,positive,1
시원하다,food,positive,1
두툼하다,food,positive,1
충실하다,general,positive,1
흔하다,general,negative,-1
느끼하다,food,negative,-1
모호,general,negative,-1
아깝다,general,negative,-1
짜다,food,negative,-1
퍽퍽,food,negative,-1
적다,general,negative,-1
힘들다,general,negative,-1
부족하다,general,negative,-1
쿰쿰하다,food,negative,-1
비리다,food,negative,-1
배탈,food,negative,-1
심각하다,general,negative,-2
부실하다,food,negative,-1
애매하다,general,negative,-1
의문,general,negative,-1
흐물흐물,food,negative,-1
차갑다,food,negative,-1
질김,food,negative,-1
질기다,food,negative,-1
미지근하다,food,negative,-1
너무 맛있다,food,positive,2
진짜 맛있다,food,positive,2
음식 맛있다,food,positive,1
고기 맛있다,food,positive,1
고기 부드럽다,food,positive,1
안주 맛있다,food,positive,1
김치 맛있다,food,positive,1
음식 깔끔하다,food,positive,1
반찬 맛있다,food,positive,1
국물 진하다,food,positive,1
느끼하다 않다,food,positive,1
국물 깔끔하다,food,positive,1
소스 맛있다,food,positive,1
메뉴 맛있다,food,positive,1
고기 좋다,food,positive,1
보쌈 맛있다,food,positive,1
비빔밥 맛있다,food,positive,1
재료 신선하다,food,positive,1
식감 좋다,food,positive,1
양념 맛있다,food,positive,1
반찬 깔끔하다,food,positive,1
음식 좋다,food,positive,1
고기 신선하다,food,positive,1
볶음밥 맛있다,food,positive,1
파스타 맛있다,food,positive,1
삼겹살 맛있다,food,positive,1
감자탕 맛있다,food,positive,1
밑반찬 맛있다,food,positive,1
감칠맛 좋다,food,positive,1
김치 좋다,food,positive,1
반찬 다양하다,food,positive,1
돼지갈비 맛있다,food,positive,1
닭갈비 맛있다,food,positive,1
국물 맛있다,food,positive,1
음식 괜찮다,food,positive,1
김치찌개 맛있다,food,positive,1
찌개 맛있다,food,positive,1
국물 좋다,food,positive,1
국물 시원하다,food,positive,1
국물 깊다,food,positive,1
갈비 맛있다,food,positive,1
밑반찬 깔끔하다,food,positive,1
냄새 없이,food,positive,1
곰탕 맛있다,food,positive,1
육회 맛있다,food,positive,1
설렁탕 맛있다,food,positive,1
보쌈 부드럽다,atmosphere,positive,1
메뉴 추천,food,positive,1
냉면 맛있다,food,positive,1
메뉴 좋다,food,positive,1
간편하다,general,positive,1
냄새 없다,food,positive,1
된장찌개 맛있다,food,positive,1
김치 최고,food,positive,1
칼국수 맛있다,food,positive,1
맛있다 맵다,food,positive,1
보쌈 최고,food,positive,1
보쌈 훌륭하다,food,positive,2
곰탕 깔끔하다,food,positive,1
국밥 깔끔하다,food,positive,1
고기 깔끔하다,food,positive,1
설렁탕 좋다,food,positive,1
국물 최고,food,positive,1
비빔밥 고소하다,food,positive,1
비빔밥 추천,food,positive,1
샐러드 맛있다,food,positive,1
