platform,store_name,account_id,account_review_count,visit_date,visit_count,verification_method,review_text,review_length,has_photo,rating,account_avg_rating,reviewer_level,manual_label,trust_score,pred_label,trust_level,trust_weight,rating_x_trust_weight,trust_reasons,generic_count,reason_count,menu_count,category_count,number_detail_count,generic_negative_count,detailed_negative_count,event_word_count,intensifier_count,quality_detail_count,sensory_detail_count,waiting_popularity_count,experience_context_count,temporal_context_count,mixed_opinion_count,sentence_count,has_generic_praise,strong_generic_praise,has_reason,strong_reason,has_menu,has_number_detail,has_generic_negative,has_detailed_negative,has_quality_detail,strong_quality_detail,has_sensory_detail,strong_sensory_detail,has_waiting_popularity,has_experience_context,has_temporal_context,has_mixed_opinion,multi_sentence_review,short_review,ultra_short_review,short_generic_review,generic_without_detail,low_information_review,specific_review,popularity_only_review,enthusiastic_but_detailed,positive_narrative,mixed_opinion_review,temporal_experience_review,menu_price_listing_only,short_but_specific_food_review,detailed_negative_narrative,first_visit,revisit,account_review_count_is_1,account_review_count_under_5,account_review_count_under_10,account_review_count_over_50,account_review_count_over_100
naver,소문난성수감자탕,reviewer_001811,680,2025-11-05,1.0,영수증,양도 많고 사람도 많고 잘먹고 왔습니다,21,1,,,,0,0.6000000000000001,0,ambiguous,0.5,,first_visit:-0.2 | account_review_count_over_100:+1.0 | photo_without_enough_detail:-0.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
naver,할머니의 레시피,reviewer_002355,122,2026-04-19,1.0,,진짜 집밥이네요!! 이것저것 먹고 싶은 게 많았는데 사이드로 시킬 수 있는 것들이 다양해서 좋더라고요ㅋ 기본 식사로 가자미 한 상이랑 버섯 비빔밥을 시키고 떡갈비랑 명란을 사이드로 주문해서 맛있게 먹었어요!! 양도 적다하고 음식도 정갈하게 나와 눈도 입도 즐거운 식사였어요^^ 간이 자극적이지 않아 식사 후에도 속도 편하고 좋네요,184,1,,,,1,17.8,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | has_menu:+0.3 | has_quality_detail:+0.6 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,2,5,4,2,0,0,1,0,1,1,2,0,7,0,0,3,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1
naver,금금 성수점,reviewer_001068,51,2026-03-01,1.0,,다 맛있는데 된장국수가 제일 맛도리에요~! 캐치테이블 웨이팅 미루기 했다가 방문의사 또 체크해야 되는지 모르고 취소돼서 다시 웨이팅 하고 먹은 시간이 아깝지는 않았어요 !,95,1,,,,1,17.0,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7 | has_photo_with_detail:+0.2,1,3,1,2,0,0,2,0,0,0,0,2,2,2,0,2,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
naver,일등식당,reviewer_000280,1368,2026-04-15,1.0,영수증,좋아요,3,0,,,,0,-11.5,0,low,0.2,,ultra_short_review:-2 | short_low_specificity:-1.5 | generic_without_detail:-3 | short_generic_review:-2 | low_information_review:-2 | no_number_detail_with_praise:-1 | first_visit_short_low_specificity:-1 | account_review_count_over_100:+1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
kakao,능동미나리 성수점,reviewer_001196,123,2026-01-21,,,진심 왜 이제야 알았을까요? ㅜㅜ 술 없이는 못 먹어요 ㄹㅇ 술땡기는 뜨끈하고 얼큰한게 미르스틴.... ㅈ진짜 너무 맛있어요 육회빔밥도 슴슴짭짤 미쳤고 아 그냥 돌았어요,94,0,5.0,3.6,실버 레벨,1,13.1,1,high,1.0,5.0,has_menu:+0.3 | has_sensory_detail:+0.6 | strong_sensory_detail:+0.5 | menu_sensory_review:+1.0 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | category_count:+0.7 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_100:+1.0,1,0,2,1,0,0,1,0,3,0,2,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1
naver,소문난성수감자탕,reviewer_000929,92,2026-04-28,1.0,,오랜만에 한국 온 친구가 먹고 싶다던 한식. 10시 30분에 성수역에 만나서 갔더니 웨이팅 없이 바로 입장했어요. 평일 11시전에는 웨이팅 없는 듯. 일본인 초딩도 맛있다고 함,98,0,,,,0,15.499999999999998,1,high,1.0,,first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5 | account_review_count_over_50:+0.7,1,2,0,2,3,0,2,0,0,0,0,2,8,2,0,4,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
naver,락희옥 마포본점,reviewer_000096,7,2026-03-25,1.0,예약,처음왔는데 너무 고급지네요. 식기 수저 분위기.. 어르신이나 회사에서 임원분들하고 오거나 부모님 거래처 다 좋을거같아요. 가격이 있지만 고급짐으로 답합니다. 맛있고 재료 좋고 조명도 좋아요. 추천합니다!!,114,1,,,,1,14.399999999999999,1,high,1.0,,account_review_count_under_10:-0.2 | first_visit:-0.2 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5 | has_photo_with_detail:+0.2,3,5,0,2,0,0,1,0,1,0,0,0,2,1,1,6,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
naver,각시보쌈,reviewer_000033,1607,2026-02-12,14.0,영수증,아내가 보쌈을 좋아해서 지금까지 이 집만 20번 이상 왔습니다. 근데 돌아서서 생각해 보니 저는 보쌈을 좋아하는 사람도 아니고 인생에서 혼자 자발적으로 보쌈을 사 먹은 적이 없습니다. 그리고 오늘 알게 된 사실인데 아들까지 보쌈을 좋아했었네요. 비상입니다 비상,145,1,,,,1,9.2,1,high,1.0,,has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | mixed_opinion_context:+0.8 | has_reason_with_length:+0.8 | multi_sentence_with_length:+0.8 | has_number_detail:+1 | enthusiastic_but_not_rich:+0 | revisit:+0.8 | account_review_count_over_100:+1.0 | has_photo_with_detail:+0.2,3,1,4,0,1,0,0,0,0,0,0,0,0,0,1,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
kakao,황금콩밭,reviewer_000915,5,2025-11-10,,,수십 번을 갔지만 일관적으로 불친절한 곳. 음식이 괜찮아서 왔었는데 더이상은 못 가겠습니다. 직원이 불친절한게 아니라 사장 내외로 보이는 분들이 불친절합니다 ㅎㅎ 심지어 예전엔 비지찌개에서 비닐 이물질 나온 적도 있는데 환불이나 사과도 없었어요 맛도 초심도 잃으신 것 같은데 장사 잘 되고 번창하세요~,168,0,1.0,1.0,브론즈 레벨,1,15.6,1,high,1.0,1.0,account_review_count_under_5:-0.5 | experience_context:+1.0 | temporal_context:+1.0 | temporal_experience_review:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | strong_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | multi_sentence_with_length:+0.8 | has_detailed_negative:+1.5 | detailed_negative_with_context:+1.2 | detailed_negative_narrative:+1.5 | enthusiastic_but_detailed_rich:+0.5,3,6,1,2,0,0,4,0,0,0,0,0,1,1,0,3,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0
kakao,소문난성수감자탕,reviewer_001528,39,2025-08-01,,,줄서서 먹을 정도는 아니고 솔직히 감자탕보다 뚝배기 해장국이 나아요 저녁 시간에는 인당 주문한다고 해도 감자탕 대자 강요하더군요 수제비가 별미갔지만 그냥 그래요 뚝배기 해장국은 추천 감자탕은 비추네요,111,0,2.0,3.9,실버 레벨,1,8.0,1,high,1.0,2.0,generic_negative_weak_detail:-0.5 | experience_context:+1.0 | has_menu:+0.3 | positive_narrative:+2.0 | mixed_opinion_review:+1.5 | has_reason_with_length:+0.8 | category_count:+1.4 | rich_category_context:+0.8 | waiting_or_popularity_context:+0.2 | enthusiastic_but_detailed_rich:+0.5,1,1,6,2,0,1,0,0,0,0,0,1,3,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
